Year,Crop,Crop_area_m2,Crop_area_ha,Yield_kgHa,Irrigation_m,Irrigation_m3,fert_kgcrop,NetReturn_ha,Crop_prc,NitrateFluxPredicted_kg
2006,Corn,3325872256,332587.2256,10642.839022220587,0.1583718269340178,526724465.3318833,83146806.4,273.3573408557525,6.581828630027533,1366271.1756612863
2006,Sorghum,208136320,20813.632,6039.1344909388845,0,0,2331126.784,120.78268981877783,1.6011298850105555,1366271.1756612863
2006,Soybeans,5946025344,594602.5344,3313.6902235362327,0.1594370953203813,948017009.548731,33297741.926400002,119.44775353390102,11.074590387130538,1366271.1756612863
2006,Wheat,674324672,67432.4672,3333.0486957782537,0,0,6001489.5808,99.99146087334759,2.488247811265155,1366271.1756612863
2007,Corn,4030406016,403040.6016,10105.954330343648,0.093198913571615,375629461.94370115,100760150.4,276.150944974541,7.718320995948307,8652746.331238022
2007,Sorghum,168597632,16859.7632,6320.54395606828,0,0,1888293.4784,126.4108791213657,1.1174863652588911,8652746.331238022
2007,Soybeans,4714624768,471462.4768,3593.1040789509766,0.09395439379760913,442959712.0606336,26401898.7008,152.4084297462421,8.862567093621859,8652746.331238022
2007,Wheat,779556288,77955.6288,3163.5275250355917,0,0,6938050.9632,94.90582575106774,2.828243876048348,8652746.331238022
2008,Corn,4145004000,414500.39999999997,11979.486136508423,0.09284233924629944,384831867.5452681,103625100,332.4603057138259,8.157152108509413,8337865.963056859
2008,Sorghum,207751500,20775.15,7268.277434379247,0,0,2326816.8,145.36554868758515,1.5894365610480627,8337865.963056859
2008,Soybeans,6142541400,614254.14,3738.237195581732,0.09255328899116264,568512409.3343807,34398231.84,160.07140597164943,11.338940186900928,8337865.963056859
2008,Wheat,739071000,73907.1,3211.413264129743,0,0,6577731.899999999,96.34239792389225,2.600249233031913,8337865.963056859
2009,Corn,4993597800,499359.77999999997,12899.691693679573,0.09063898253440524,452614623.7780444,124839945,360.7054458754097,9.340787865173304,9140907.511036927
2009,Sorghum,155340900,15534.09,7780.977492247802,0,0,1739818.08,155.61954984495614,1.4441761639329405,9140907.511036927
2009,Soybeans,6311665800,631166.58,3894.9421334156914,0.09154188735935981,577781799.7135236,35345328.48,168.1999593365702,11.56173203882664,9140907.511036927
2009,Wheat,565717500,56571.75,3177.4332977717695,0,0,5034885.75,95.32299893315304,2.2202767145380258,9140907.511036927
2010,Corn,4823146800,482314.68,9768.770192136808,0.10555428312079351,509103802.86034924,120578670,262.4523636590741,9.258501379628344,9334752.899459291
2010,Sorghum,75765600,7576.56,6057.30116855739,0,0,848574.7200000001,121.14602337114793,1.0844997067770665,9334752.899459291
2010,Soybeans,6524582400,652458.24,3437.096347164873,0.10592496510473458,691116163.0429654,36537661.44,141.13657747787056,11.84421559245367,9334752.899459291
2010,Wheat,399233700,39923.37,3343.8471773755864,0,0,3553179.93,100.31541532126761,2.587027146130801,9334752.899459291
2011,Corn,5434657200,543465.72,9011.582504135382,0.149394874513876,811909930.4199327,135866430,227.02296151503742,10.007738045241544,7078056.460348798
2011,Sorghum,94446900,9444.689999999999,5409.396541486005,0,0,1057805.28,108.18793082972022,1.2783013014879334,7078056.460348798
2011,Soybeans,6648786000,664878.6,3244.487319778377,0.15104458815491223,1004263143.1001463,37233201.6,118.42143542399423,12.06717151234888,7078056.460348798
2011,Wheat,498982500,49898.25,3390.6446415229752,0,0,4440944.25,101.71933924568928,2.263860793309795,7078056.460348798
2012,Corn,5266193400,526619.34,7986.534180167108,0.21956136235743656,1156252597.3417408,131654835,175.92323032135664,9.621022009354459,-636508.0140354177
2012,Sorghum,68786100,6878.610000000001,4080.598578872474,0,0,770404.32,81.61197157744948,1.0172083185324237,-636508.0140354177
2012,Soybeans,6651072000,665107.2,2728.109549189673,0.21984421103119492,1462199676.3516717,37246003.2,72.65065626043709,12.041591226255939,-636508.0140354177
2012,Wheat,440095500,44009.55,3335.0133873143914,0,0,3916849.95,100.05040161943178,2.0271112922956904,-636508.0140354177
2013,Corn,5754389400,575438.9400000001,10077.41884913503,0.1381593837096204,795022893.1291722,143859735,262.256344198261,10.594124371351537,4556754.755929147
2013,Sorghum,96042600,9604.26,6155.9302804437,0,0,1075677.12,123.11860560887408,1.1164228673527594,4556754.755929147
2013,Soybeans,6670024200,667002.42,3404.835593945004,0.13800616613898178,920504467.8962291,37352135.52,130.21999151694544,12.323498463058684,4556754.755929147
2013,Wheat,713476800,71347.68000000001,3329.523322534892,0,0,6349943.5200000005,99.88569967604674,2.591105961191124,4556754.755929147
2014,Corn,5121239400,512123.94,10727.097149732372,0.12926130994853913,661978113.4040706,128030985,284.3271346068947,9.510120489047747,1050534.0813169377
2014,Sorghum,38416500,3841.65,5747.760658375173,0,0,430264.80000000005,114.95521316750359,0.6684554929989122,1050534.0813169377
2014,Soybeans,6502919400,650291.94,3294.701674844609,0.13027872940585727,847192076.8606998,36416348.64,126.95425221453178,12.073871176202115,1050534.0813169377
2014,Wheat,434233800,43423.38,3308.0231100814613,0,0,3864680.8200000003,99.24069330244383,1.6385478113289553,1050534.0813169377
2015,Corn,5424449400,542444.94,10585.516015708077,0.09997524201288426,542310641.5516448,135611235,288.5726602875059,9.971880698921288,10384389.994138468
2015,Sorghum,144315000,14431.5,6444.6868042017095,0,0,1616328,128.89373608403434,1.3363823797557055,10384389.994138468
2015,Soybeans,6660822600,666082.26,3652.8702599694225,0.10077262961564404,671228608.8053111,37300606.56,153.4194504099343,12.084132282398842,10384389.994138468
2015,Wheat,523579500,52357.95,3189.798192704219,0,0,4659857.55,95.69394578112657,1.8682398492802814,10384389.994138468
2016,Corn,6231189600,623118.96,9886.7866606436,0.11111505507959676,692378975.6154106,155779740,264.3802338462248,11.392733052743317,14336287.077187568
2016,Sorghum,103386600,10338.66,6021.568792353641,0,0,1157929.92,120.4313758470729,1.1927651276370885,14336287.077187568
2016,Soybeans,6940089000,694008.9,3547.8803863308335,0.11236508507185446,779823690.8912413,38864498.4,144.80814464570383,12.683757542736698,14336287.077187568
2016,Wheat,352189800,35218.98,3271.038637159421,0,0,3134489.2199999997,98.13115911478266,1.4353421102671342,14336287.077187568
2017,Corn,5914197000,591419.7,10769.333238350286,0.14018040019281736,829054502.2791599,147854925,282.4276810945915,11.355509965581875,9527929.353674928
2017,Sorghum,36152100,3615.21,6210.862983645666,0,0,404903.52,124.21725967291347,0.6276359947270287,9527929.353674928
2017,Soybeans,7917213600,791721.36,3454.2326377992013,0.13845430192422425,1096172282.1729743,44336396.16,132.55988433193502,14.482490652568085,9527929.353674928
2017,Wheat,176176800,17617.68,3339.1818249169114,0,0,1567973.52,100.17545474750732,1.6149981498406054,9527929.353674928
2018,Corn,6038789400,603878.9400000001,10014.018953323679,0.12230426041922508,738569671.394456,150969735,264.9523330781351,10.96503019087359,5568596.914047006
2018,Sorghum,63319500,6331.95,6383.299553166314,0,0,709178.4,127.66599106332635,0.7921699786602974,5568596.914047006
2018,Soybeans,7782912000,778291.2,3354.3192737118165,0.12392571290918813,964502918.1094753,43584307.2,131.7775069419262,14.30128473916417,5568596.914047006
2018,Wheat,216104400,21610.44,3318.3997156387663,0,0,1923329.16,99.551991469163,1.523562833073678,5568596.914047006
2019,Corn,6359603400,635960.34,10910.288017515808,0.042410276157828865,269712536.4482674,158990085,315.0096604397039,12.155616277151715,18631733.08549868
2019,Sorghum,111224700,11122.47,6315.404114167512,0,0,1245716.64,126.30808228335036,1.023420780461132,18631733.08549868
2019,Soybeans,7657828200,765782.82,3767.970203500715,0.04373910465401005,334946549.0622294,42883837.92,175.71416982537275,13.948368447853575,18631733.08549868
2019,Wheat,216792000,21679.2,2726.0710860298727,0,0,1929448.8,81.78213258089615,1.2383630035033895,18631733.08549868
2020,Corn,6487155000,648715.5,11478.088656558411,0.12195984077859028,791172390.9060358,162178875,308.9743058709612,12.37380599726261,8849119.810537104
2020,Sorghum,119757600,11975.76,6802.459121822057,0,0,1341285.12,136.04918243644127,0.8309950501138983,8849119.810537104
2020,Soybeans,8167818600,816781.86,3609.299993610686,0.12364068800076948,1009874711.1694818,45739784.160000004,144.6092001603111,14.999766251975705,8849119.810537104
2020,Wheat,167773500,16777.35,3289.483152234898,0,0,1493184.15,98.68449456704694,1.2072334095763073,8849119.810537104
2021,Corn,6487155000,648715.5,10153.190849668395,0.13298080314305133,862667082.0134611,162178875,266.0312925785669,12.37380599726261,8181713.34073638
2021,Sorghum,119757600,11975.76,5954.164311078334,0,0,1341285.12,119.08328622156681,0.8309950501138983,8181713.34073638
2021,Soybeans,8167818600,816781.86,3399.6791510174926,0.12805811411373136,1045955446.3390574,45739784.160000004,132.84710445789244,14.999766251975705,8181713.34073638
2021,Wheat,167773500,16777.35,3308.7495416590286,0,0,1493184.15,99.26248624977089,1.2072334095763073,8181713.34073638
2022,Corn,6478801200,647880.12,10356.045515497975,0.13653472683782783,884581352.0785911,161970030,271.0862946819691,11.73376356855704,5599637.585827852
2022,Sorghum,155915100,15591.51,6189.247275186473,0,0,1746249.1199999999,123.78494550372965,0.9686129986270147,5599637.585827852
2022,Soybeans,8073385200,807338.52,3347.2520226213737,0.13563164877119463,1095006545.840961,45210957.120000005,128.02942298742224,14.69729059299422,5599637.585827852
2022,Wheat,160560000,16056,3337.6524330673847,0,0,1428984,100.12957299202152,1.1779861667239846,5599637.585827852
2023,Corn,6159600000,615960,9809.66574159019,0.15456536458261266,952060819.683061,153990000,249.46601651874798,11.701552871769648,3148919.4083470264
2023,Sorghum,102501900,10250.19,5323.845622917184,0,0,1148021.28,106.47691245834376,0.8178139490961537,3148919.4083470264
2023,Soybeans,8376611400,837661.14,3232.1901137031177,0.15507524129994693,1299005034.1308863,46909023.839999996,116.6376857081712,15.299821148224396,3148919.4083470264
2023,Wheat,141636600,14163.66,3349.8122506147065,0,0,1260565.74,100.49436751844121,1.1285711681590096,3148919.4083470264
